"VARIABLE TYPE","VARIABLE ABBREV","VARIABLE LABEL","VARIABLE NAME","VARIABLE DATA TYPE","VARIABLE ONTOLOGY ID","PROPERTY","PROPERTY ONTOLOGY ID","METHOD","FORMULA","METHOD ONTOLOGY ID","UNIT","SCALE ONTOLOGY ID","SCALE VALUE LIST","B4R VARIABLE ID","B4R RECORD COUNT"
"observation","FLW_CONT","FLW","Days to flowering","integer","CO_320:0000083","days to flowering","CO_320:0000083","Determine the date when 80% flowering was observed, or express as number of days from seeding. Count of number of days to flower. ","FLW_CONT = FLW_DATE_CONT - SEEDING_DATE_CONT","CO_320:0000441","","CO_320:0000442","","78","417612"
"observation","HT1_CONT","Ht1","Plant height of sample 1","float","","Plant height","CO_320:0000076","For plant sample 1 - Use actual measurement (cm) from soil surface to tip of the tallest panicle (awns excluded) or flag leaf. For height measurements at other growth stages, specify the stage. Record in whole numbers (do not use decimals).","HT1_CONT = PNL1_CONT + CML1_CONT","","cm","CO_320:0000480","","213","351328"
"observation","FLW_DATE_CONT","FLW DATE","Flowering date","date","","Flowering date","","Record the actual date of flowering","","","","","","400","334074"
"observation","AYLD_CONT","AYLD_G","Actual plot yield in grams","float","","Grain yield 2","","Record the actual grain yield per plot. Expressed in grams","","","grams per plot","","","397","298638"
"observation","HVHILL_CONT","NO OF HILLS HARVESTED","Number Of Hills Harvested","integer","","harvested hill","","Count the number of hills harvested","","","","","","142","292278"
"observation","HT2_CONT","Ht2","Plant height of sample 2","float","","Plant height","CO_320:0000076","For plant sample 2 - Use actual measurement (cm) from soil surface to tip of the tallest panicle (awns excluded) or flag leaf. For height measurements at other growth stages, specify the stage. Record in whole numbers (do not use decimals).","HT2_CONT = PNL2_CONT + CML2_CONT","","cm","CO_320:0000480","","214","290311"
"observation","HT3_CONT","Ht3","Plant height of sample 3","float","","Plant height","CO_320:0000076","For plant sample 3 - Use actual measurement (cm) from soil surface to tip of the tallest panicle (awns excluded) or flag leaf. For height measurements at other growth stages, specify the stage. Record in whole numbers (do not use decimals).","HT3_CONT = PNL3_CONT + CML3_CONT","","cm","CO_320:0000480","","215","274863"
"observation","MC_CONT","MC","moisture content","float","","moisture content","","Record moisture content after drying at 50 degress C","","","","","","182","266016"
"observation","NO_OF_PLANTS","NO OF PLANTS SELECTED","No Of Plants Selected","integer","","PLANT SELECTION","","Number of plant selected in a plot for advancement","","","","","","639","255143"
"observation","HT_CONT","HT_AVG","Plant height_AVG","float","","Plant height","CO_320:0000076","Compute for the average plant height from all samples per plot, record in cm.","HT_CONT = AVE(HT<OBSN>_CONT)","CO_320:0000479","cm","CO_320:0000480","","212","236530"
"observation","MAT_CONT","Mat","Maturity","float","CO_320:0000082","Maturity","CO_320:0000082","Use the number of days from seeding to grain ripening (85% of grains on panicle are mature). At growth stage: 9.","MAT_CONT = FLW_CONT + 30","","no. of days","","","180","226649"
"observation","MF_CONT","MF","Moisture factor","float","","moisture factor","","Computed as: MF= (100-MC_CONT)/86","MF_CONT = (100 - MC_CONT) / 86","","","","","183","160788"
"observation","TILL1_CONT","TILL1","Number of tillers 1","integer","","Number of tillers","","Record the number of tillers from plant sample 1","","CO_320:0000314","","","","287","159528"
"observation","HT_CONT_ENT","HT_AVG_ENT","Plant height_AVG_ENT","float","","Plant height","CO_320:0000076","Compute for the average of all plant height observed from all replications, record in cm.","HT_CONT_ENT = AVE(HT_CONT)","","cm","","","756","141406"
"observation","TILL2_CONT","TILL2","Number Of Tillers 2","integer","","Number of tillers","","Record the number of tillers from plant sample 2","","CO_320:0000314","","","","288","140776"
"observation","TILL3_CONT","TILL3","Number Of Tillers 3","integer","","Number of tillers","","Record the number of tillers from plant sample 3","","CO_320:0000314","","","","289","133797"
"observation","TOTAL_HILL_CONT","TOTAL HILL","Total hill","integer","","Total hill","","Count the number of hills per plot","TOTAL_HILL_CONT = ROWS_PER_PLOT_CONT * HILLS_PER_ROW_CONT","","","","","293","126259"
"observation","FLW_CONT_ENT","FLW AVG","Average days to flowering","float","","days to flowering","CO_320:0000083","Compute for the average of days to flowering observed from all replications.","FLW_CONT_ENT = AVG(FLW_CONT)","","days average","","","755","121625"
"observation","TIL_AVE_CONT","TILLER_AVG","Average tiller number","float","","Number of tillers","","Take the average tiller number from n number of samples.","TIL_AVE_CONT = AVE(TILL<OBSN>_CONT)","CO_320:0000314","","","","285","118224"
"observation","FLW_50DATE_CONT","FLW 50DATE","Date of 50% flowering","date","","Flowering date","","Date of 50-60% flowering","","","","","","1436","111057"
"observation","PNL1_CONT","PnL 1","panicle length  of sample 1","float","","Panicle length","CO_320:0000033","For sample 1 - Enter actual measurements in centimeters from panicle base to tip.

At growth stage: 8","","CO_320:0000475","cm","CO_320:0000476","","650","88338"
"observation","DTH_CONT","DTH","Days to harvest","integer","","Days to harvest","","Record the number of days to harvest","DTH_CONT = HVDATE_CONT - SEEDING_DATE_CONT","","","","","403","87692"
"observation","ADJAYLD_G_CONT","AYLD_G_MC","Plot yield in grams adjusted to 14% MC","float","","Grain yield 2","","computed as ADJAYLD_CONT = AYLD_CONT * MF_CONT","ADJAYLD_G_CONT=AYLD_CONT*MF_CONT","","grams","","","1238","80577"
"observation","HT4_CONT","Ht4","Plant height of sample 4","float","","Plant height","CO_320:0000076","For plant sample 4 - Use actual measurement (cm) from soil surface to tip of the tallest panicle (awns excluded) or flag leaf. For height measurements at other growth stages, specify the stage. Record in whole numbers (do not use decimals).","HT4_CONT = PNL4_CONT + CML4_CONT","","cm","CO_320:0000480","","216","76401"
"observation","HT5_CONT","Ht5","Plant height of sample 5","float","","Plant height","CO_320:0000076","For plant sample 5 - Use actual measurement (cm) from soil surface to tip of the tallest panicle (awns excluded) or flag leaf. For height measurements at other growth stages, specify the stage. Record in whole numbers (do not use decimals).","HT5_CONT = PNL5_CONT + CML5_CONT","","cm","CO_320:0000480","","585","75547"
"observation","PNL3_CONT","PnL 3","panicle length  of sample 3","float","","Panicle length","CO_320:0000033","For sample 3 - Enter actual measurements in centimeters from panicle base to tip.

At growth stage: 8","","CO_320:0000475","cm","CO_320:0000476","","652","72532"
"observation","PNL2_CONT","PnL 2","panicle length  of sample 2","float","","Panicle length","CO_320:0000033","For sample 2 - Enter actual measurements in centimeters from panicle base to tip.

At growth stage: 8","","CO_320:0000475","cm","CO_320:0000476","","651","72502"
"observation","MAT_50DATE_CONT","MAT_50DATE","MAT_50DATE","date","","Maturity","CO_320:0000082","Record the date that 50% of plants exhibits physiological maturity (ready for harvest) within a population.","","","","","","1557","69775"
"observation","TILL4_CONT","TILL4","Number Of Tillers 4","integer","","Number of tillers","","Record the number of tillers from plant sample 4","","CO_320:0000314","","","","290","65760"
"observation","TILL5_CONT","TILL5","Number Of Tillers 5","integer","","Number of tillers","","Record the number of tillers from plant sample 5","","CO_320:0000314","","","","291","64968"
"observation","MISS_HILL_CONT","MISS HILL","Missing hill","integer","","missing hill","","Count the missing hills per plot","MISS_HILL_CONT = TOTAL_HILL_CONT - HVHILL_CONT","","","","","181","62271"
